date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:53:46	64270/64270	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Apr%202020%2022:53:46%20GMT	https://bot.emirkabal.com/komutlar	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/komutlar.html	(from )
01:53:47	4044/4044	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Apr%202020%2022:53:47%20GMT	https://bot.emirkabal.com/robots.txt		(from )
01:53:48	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%22791c-16b26fe50a4%22	https://bot.emirkabal.com/altyapi/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/css/font-awesome.min.css	(from https://bot.emirkabal.com/komutlar)
01:53:48	22685/22685	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Apr%202020%2022:53:49%20GMT	https://bot.emirkabal.com/	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/index.html	(from https://bot.emirkabal.com/komutlar)
01:53:49	127349/127349	---MCZ	200	added ('OK')	text/css	etag:W/%221f175-16b26fe50a2%22	https://bot.emirkabal.com/altyapi/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/css/bootstrap.min.css	(from https://bot.emirkabal.com/komutlar)
01:53:50	29629/29629	---MCZ	200	added ('OK')	text/css	etag:W/%2273bd-16b26fe50a9%22	https://bot.emirkabal.com/altyapi/css/settings.css	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/css/settings.css	(from https://bot.emirkabal.com/komutlar)
01:53:51	146597/146597	---MCZ	200	added ('OK')	text/css	etag:W/%2223ca5-16b26fe50a5%22	https://bot.emirkabal.com/altyapi/css/layers.css	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/css/layers.css	(from https://bot.emirkabal.com/komutlar)
01:53:52	62218/62218	---MCZ	200	added ('OK')	text/css	etag:W/%22f30a-16b26fe50a7%22	https://bot.emirkabal.com/altyapi/css/navigation.css	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/css/navigation.css	(from https://bot.emirkabal.com/komutlar)
01:53:53	2941/2941	---MCZ	200	added ('OK')	text/css	etag:W/%22b7d-16b26fe50a7%22	https://bot.emirkabal.com/altyapi/css/owl.carousel.min.css	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/css/owl.carousel.min.css	(from https://bot.emirkabal.com/komutlar)
01:53:54	59653/59653	---MCZ	200	added ('OK')	text/css	etag:W/%22e905-16c52d65074%22	https://bot.emirkabal.com/altyapi/css/style.css	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/css/style.css	(from https://bot.emirkabal.com/komutlar)
